Sample.ID,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Level.Age,Age,age,age estimate,Note.age,Age.Category,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
908-831,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square B-C, 7-8",,,3000,,Holocene,5,H6,0.594,5.3,-10.8,,,15.3,44.1,2.9,,x
908-343,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,NA,NA,,,,,1,F3,0.537,5.4,-10.8,,,14.9,44.4,3,,x
908-118,Large,Carnivore,Canis,dirus,Canis,dirus,65000,TMM,Kincaid Shelter,"Zone 6, Square A-B, 5-6, #909",,,3000,,Holocene,5,G12,0.572,11.4,-10.8,,,15.4,43.9,2.9,,x
41229-PANTHERA-10905,Large,Carnivore,Panthera,onca?,Panthera,onca,100000,TMM,Halls Cave,NA,Pleistocene,11503.5,11503.5,,Pleistocene,1,G5,0.528,13.1,-10.7,,,15.5,44.9,2.9,,x
41229-12042,Large,Carnivore,Canis,lupus,Canis,lupus,37000,TMM,Hall's Cave,,,,,,,1,B4,0.58,10.9,-10.6,,,15.3,43.6,2.9,,x
908-4522,Large,Carnivore,Canis,sp.,Canis,sp.,37000,TMM,Kincaid Shelter,#518,,,,,,4,F11,0.524,10.3,-10.6,,,15.5,45.2,2.9,,x
41229-10798,Large,Herbivore,Equus,,Equus,sp.,400000,TMM,Halls Cave,Pit 1D/E,Holocene,11503.5,11503.5,,Pleistocene,2,A5,0.287,8.5,-10.5,,,11.7,32.4,2.8,,x
43133-232,Large,Carnivore,Canis,lupus,Canis,lupus,37000,TMM,Bering Sinkhole,"NW Pit, level 2",,,4950,,Holocene,1,F5,0.51,10.1,-10.4,,,13.6,40,2.9,,x
908-347,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Kincaid Shelter,"Zone 6, Square A-B, 10-11, #319",,,3000,,Holocene,6,A8,0.541,10.1,-10.4,,,14.6,43.6,3,,x
41229-900,Large,Carnivore,Panthera,onca augusta?atrox,Panthera,onca,100000,TMM,Hall's Cave,150-155,,,10680,,Pleistocene,5,C1,0.586,13.6,-10.3,,,15.6,44.4,2.8,,x
908-382,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Kincaid Shelter,"zone 6, square G-H, 5-6",,,3000,,Holocene,1,D12,0.506,9.6,-10.2,,,15.5,43.4,2.8,,x
41229-PANTHERA-10799,Large,Carnivore,Panthera,onca?,Panthera,onca,100000,TMM,Halls Cave,NA,Pleistocene,11503.5,11503.5,,Pleistocene,1,G3,0.555,13,-10.1,,,15.9,45.8,2.9,,x
